Accession,Serotype,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample
OQ426566,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1098-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/14/18,
OQ426567,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1110-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/15/18,
OQ426568,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1126-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/19/18,
OQ426569,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1128-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/19/18,
OQ426570,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1150-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/22/18,
OQ426571,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1174-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/27/18,
OQ426572,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1196-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/30/18,
OQ426573,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1212-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/3/18,
OQ426574,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1252-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/7/18,
OQ426575,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1315-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/18/18,
OQ426576,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1341-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/21/18,
OQ426577,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1360-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/24/18,
OQ426578,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1375-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/27/18,
OQ426579,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1390-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,1/3/19,
OQ426580,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1427-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,1/9/19,
OQ426581,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1435-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,1/10/19,
OQ426582,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1547-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,2/12/19,
OQ426583,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1550-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,2/13/19,
OQ426584,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1552-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,2/13/19,
OQ426585,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DEN-P-1579-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,2/20/19,
OQ426586,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0251-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,10/20/18,
OQ426587,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0274-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,10/29/18,
OQ426588,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0299-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/9/18,
OQ426589,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0315-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/19/18,
OQ426590,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0333-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/23/18,
OQ426591,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0347-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,11/28/18,
OQ426592,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0354-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/2/18,
OQ426593,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0361-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/4/18,
OQ426594,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0368-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/6/18,
OQ426595,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0371-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/7/18,
OQ426596,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0382-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/12/18,
OQ426597,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0411-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/20/18,
OQ426598,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0422-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/24/18,
OQ426599,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0430-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,12/26/18,
OQ426600,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0439-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,1/8/19,
OQ426601,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0465-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,2/18/19,
OQ426602,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0469-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,2/22/19,
OQ426603,1,,"Ashall,J., Shah,S., Biggs,J.R., Chang,R., Jafari,Y., Brady,O.J., Mai,H.K., Lien,L.T., Thai,H.D., Nhuyen,H.A.T., Anh,D., Iwasaki,C., Kitamura,N., Van Loock,M., Herrera-Taracena,G., Rasschaert,F., Van Wesenbeeck,L., Yoshida,L.-M., Hafalla,J.C.R., Hue,S., Hibberd,M.L.",2023-02-18T00:00:00Z,DET-P-0472-1,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),10176,partial,,,,Viet Nam: Nha Trang,,Homo sapiens,blood,2/22/19,
