Accession,Locality,Year,Serotype,Subclade
KF041236,Pakistan,2008,DENV-2,Cosmopolitan-I-C-1B
KC294223,Peru,2010,DENV-2,Asian-American
KC294221,Peru,2010,DENV-2,Asian-American
AF100467,Peru,1998,DENV-2,American
FJ547086,Puerto_Rico,1995,DENV-1,Genotype-III
FJ562106,Puerto_Rico,1986,DENV-1,Genotype-III
FJ547087,Puerto_Rico,1992,DENV-1,Genotype-III
FJ410188,Puerto_Rico,1996,DENV-1,Genotype-III
FJ478457,Puerto_Rico,1996,DENV-1,Genotype-III
JF730050,Puerto_Rico,2007,DENV-2,Asian-II
JN796245,Puerto_Rico,2008,DENV-2,Asian-II
DQ285559,Reunion,2004,DENV-1,Genotype-III
DQ285560,Reunion,2004,DENV-1,Genotype-II
AB195673,Seychelles,2003,DENV-1,Genotype-II
DQ285561,Seychelles,2004,DENV-1,Genotype-II
EU081258,Singapore,2005,DENV-1,Genotype-III
AY762084,Singapore,1993,DENV-1,Genotype-III
EU081262,Singapore,2005,DENV-1,Genotype-I
EU081273,Singapore,2005,DENV-1,Genotype-I
EU081281,Singapore,2006,DENV-1,Genotype-I
EU081280,Singapore,2006,DENV-1,Genotype-I
JF327392,Singapore,2009,DENV-2,Cosmopolitan-III
EU081177,Singapore,2005,DENV-2,Cosmopolitan-III
GQ252676,Sri_Lanka,2003,DENV-2,Cosmopolitan-I-C-1A
GQ252677,Sri_Lanka,2004,DENV-2,Cosmopolitan-I-C-1A
FJ882602,Sri_Lanka,1996,DENV-2,Cosmopolitan-I-C-1B
DQ645546,Taiwan,2002,DENV-2,Cosmopolitan-III
HQ891024,Taiwan,2008,DENV-2,Asian-II
AY732476,Thailand,1980,DENV-1,Genotype-III
AY732474,Thailand,1980,DENV-1,Genotype-III
GQ868591,Thailand,1964,DENV-2,Asian-I
FJ639735,Venezuela,1997,DENV-1,Genotype-III
GU131834,Venezuela,2001,DENV-1,Genotype-III
FJ639740,Venezuela,1998,DENV-1,Genotype-III
GU131837,Venezuela,2005,DENV-1,Genotype-III
FJ850104,Venezuela,2008,DENV-1,Genotype-III
EU482672,Vietnam,2006,DENV-2,Cosmopolitan-III
OL414747,Cambodia,2019,DENV-2,New-Cambodia
OL414744,Cambodia,2019,DENV-2,New-Cambodia
OK159936,Cambodia,2019,DENV-1,New-Cambodia
OL414721,Cambodia,2019,DENV-2,New-Cambodia
OL414720,Cambodia,2019,DENV-2,New-Cambodia
OL414743,Cambodia,2019,DENV-2,New-Cambodia
OL414742,Cambodia,2019,DENV-2,New-Cambodia
OK159969,Cambodia,2019,DENV-1,New-Cambodia
OL414719,Cambodia,2019,DENV-2,New-Cambodia
OL414718,Cambodia,2019,DENV-2,New-Cambodia
OL414760,Cambodia,2019,DENV-2,New-Cambodia
OK159968,Cambodia,2019,DENV-1,New-Cambodia
OL414741,Cambodia,2019,DENV-2,New-Cambodia
OL414740,Cambodia,2019,DENV-2,New-Cambodia
OK159945,Cambodia,2019,DENV-1,New-Cambodia
OK159967,Cambodia,2019,DENV-1,New-Cambodia
OL414739,Cambodia,2019,DENV-2,New-Cambodia
OL414738,Cambodia,2019,DENV-2,New-Cambodia
OL414717,Cambodia,2019,DENV-2,New-Cambodia
OL414759,Cambodia,2019,DENV-2,New-Cambodia
OL414737,Cambodia,2019,DENV-2,New-Cambodia
OK159944,Cambodia,2019,DENV-1,New-Cambodia
OK159943,Cambodia,2019,DENV-1,New-Cambodia
OK159966,Cambodia,2019,DENV-1,New-Cambodia
OK159942,Cambodia,2019,DENV-1,New-Cambodia
OL411499,Cambodia,2019,DENV-1,New-Cambodia
OK159941,Cambodia,2019,DENV-1,New-Cambodia
OL412140,Cambodia,2019,DENV-1,New-Cambodia
OK159962,Cambodia,2019,DENV-1,New-Cambodia
OK159937,Cambodia,2019,DENV-1,New-Cambodia
OL411496,Cambodia,2019,DENV-1,New-Cambodia
OK159940,Cambodia,2019,DENV-1,New-Cambodia
OK159965,Cambodia,2019,DENV-1,New-Cambodia
OL412740,Cambodia,2019,DENV-2,New-Cambodia
OK159939,Cambodia,2019,DENV-1,New-Cambodia
OK159964,Cambodia,2019,DENV-1,New-Cambodia
OK159938,Cambodia,2019,DENV-1,New-Cambodia
OK159963,Cambodia,2019,DENV-1,New-Cambodia
OK159935,Cambodia,2019,DENV-1,New-Cambodia
OL414762,Cambodia,2019,DENV-2,New-Cambodia
OK159959,Cambodia,2019,DENV-1,New-Cambodia
OL414730,Cambodia,2019,DENV-2,New-Cambodia
OK159958,Cambodia,2019,DENV-1,New-Cambodia
OL420733,Cambodia,2019,DENV-2,New-Cambodia
OL412678,Cambodia,2019,DENV-1,New-Cambodia
OK159976,Cambodia,2019,DENV-1,New-Cambodia
OL414729,Cambodia,2019,DENV-2,New-Cambodia
OL414761,Cambodia,2019,DENV-2,New-Cambodia
OK159975,Cambodia,2019,DENV-1,New-Cambodia
OL414728,Cambodia,2019,DENV-2,New-Cambodia
OK159957,Cambodia,2019,DENV-1,New-Cambodia
OK159956,Cambodia,2019,DENV-1,New-Cambodia
OK159974,Cambodia,2019,DENV-1,New-Cambodia
OL414763,Cambodia,2019,DENV-2,New-Cambodia
OK159955,Cambodia,2019,DENV-1,New-Cambodia
OL414745,Cambodia,2019,DENV-2,New-Cambodia
OK159954,Cambodia,2019,DENV-1,New-Cambodia
OL414727,Cambodia,2019,DENV-2,New-Cambodia
OK159953,Cambodia,2019,DENV-1,New-Cambodia
OK159952,Cambodia,2019,DENV-1,New-Cambodia
OL414726,Cambodia,2019,DENV-2,New-Cambodia
OK159973,Cambodia,2019,DENV-1,New-Cambodia
OK159951,Cambodia,2019,DENV-1,New-Cambodia
OK159950,Cambodia,2019,DENV-1,New-Cambodia
OL414725,Cambodia,2019,DENV-2,New-Cambodia
OL412703,Cambodia,2019,DENV-1,New-Cambodia
OL411498,Cambodia,2019,DENV-1,New-Cambodia
OK159949,Cambodia,2019,DENV-1,New-Cambodia
OK159948,Cambodia,2019,DENV-1,New-Cambodia
OK159947,Cambodia,2019,DENV-1,New-Cambodia
OK159946,Cambodia,2019,DENV-1,New-Cambodia
OK159972,Cambodia,2019,DENV-1,New-Cambodia
OK159971,Cambodia,2019,DENV-1,New-Cambodia
OK159970,Cambodia,2019,DENV-1,New-Cambodia
OL414724,Cambodia,2019,DENV-2,New-Cambodia
OL414723,Cambodia,2019,DENV-2,New-Cambodia
OL414722,Cambodia,2019,DENV-2,New-Cambodia
OM033409,Cambodia,2019,DENV-1,New-Cambodia
OK159961,Cambodia,2020,DENV-1,New-Cambodia
OK159960,Cambodia,2020,DENV-1,New-Cambodia
OL411497,Cambodia,2020,DENV-1,New-Cambodia
OL414746,Cambodia,2020,DENV-2,New-Cambodia
OL414749,Cambodia,2020,DENV-2,New-Cambodia
OL414736,Cambodia,2020,DENV-2,New-Cambodia
OL414735,Cambodia,2020,DENV-2,New-Cambodia
OL414734,Cambodia,2020,DENV-2,New-Cambodia
OL414750,Cambodia,2020,DENV-2,New-Cambodia
OL411495,Cambodia,2020,DENV-1,New-Cambodia
OL414751,Cambodia,2020,DENV-2,New-Cambodia
OL414752,Cambodia,2020,DENV-2,New-Cambodia
OL414765,Cambodia,2020,DENV-2,New-Cambodia
OL414733,Cambodia,2020,DENV-2,New-Cambodia
OL414753,Cambodia,2020,DENV-2,New-Cambodia
OL414754,Cambodia,2020,DENV-2,New-Cambodia
OL435143,Cambodia,2020,DENV-2,New-Cambodia
OL414755,Cambodia,2020,DENV-2,New-Cambodia
OL414764,Cambodia,2020,DENV-2,New-Cambodia
OL414732,Cambodia,2020,DENV-2,New-Cambodia
OL414756,Cambodia,2020,DENV-2,New-Cambodia
OL414757,Cambodia,2020,DENV-2,New-Cambodia
OL414731,Cambodia,2020,DENV-2,New-Cambodia
OL414758,Cambodia,2020,DENV-2,New-Cambodia
FJ639669,Cambodia,2000,DENV-1,Old-Cambodia
GQ868637,Cambodia,2000,DENV-1,Old-Cambodia
FJ639670,Cambodia,2001,DENV-1,Old-Cambodia
FJ639671,Cambodia,2001,DENV-1,Old-Cambodia
FJ639672,Cambodia,2001,DENV-1,Old-Cambodia
FJ639673,Cambodia,2001,DENV-1,Old-Cambodia
FJ639697,Cambodia,2001,DENV-2,Old-Cambodia
JF730044,Cambodia,2001,DENV-2,Old-Cambodia
JN819423,Cambodia,2001,DENV-1,Old-Cambodia
KF955406,Cambodia,2001,DENV-1,Old-Cambodia
FJ639674,Cambodia,2002,DENV-1,Old-Cambodia
FJ639698,Cambodia,2002,DENV-2,Old-Cambodia
FJ639699,Cambodia,2002,DENV-2,Old-Cambodia
FJ639700,Cambodia,2002,DENV-2,Old-Cambodia
FJ639701,Cambodia,2002,DENV-2,Old-Cambodia
KF921930,Cambodia,2002,DENV-2,Old-Cambodia
FJ639675,Cambodia,2003,DENV-1,Old-Cambodia
FJ639676,Cambodia,2003,DENV-1,Old-Cambodia
FJ639677,Cambodia,2003,DENV-1,Old-Cambodia
FJ639678,Cambodia,2003,DENV-1,Old-Cambodia
FJ639679,Cambodia,2003,DENV-1,Old-Cambodia
FJ639680,Cambodia,2003,DENV-1,Old-Cambodia
FJ639681,Cambodia,2003,DENV-1,Old-Cambodia
FJ639702,Cambodia,2003,DENV-2,Old-Cambodia
FJ639703,Cambodia,2003,DENV-2,Old-Cambodia
FJ639704,Cambodia,2003,DENV-2,Old-Cambodia
FJ639705,Cambodia,2003,DENV-2,Old-Cambodia
FJ850069,Cambodia,2003,DENV-1,Old-Cambodia
GQ868618,Cambodia,2003,DENV-1,Old-Cambodia
GQ868619,Cambodia,2003,DENV-1,Old-Cambodia
GQ868620,Cambodia,2003,DENV-2,Old-Cambodia
GQ868621,Cambodia,2003,DENV-2,Old-Cambodia
GQ868622,Cambodia,2003,DENV-2,Old-Cambodia
KF921931,Cambodia,2003,DENV-2,Old-Cambodia
FJ639682,Cambodia,2004,DENV-1,Old-Cambodia
FJ639706,Cambodia,2004,DENV-2,Old-Cambodia
FJ639707,Cambodia,2004,DENV-2,Old-Cambodia
JQ287664,Cambodia,2004,DENV-1,Old-Cambodia
FJ639683,Cambodia,2005,DENV-1,Old-Cambodia
FJ639684,Cambodia,2005,DENV-1,Old-Cambodia
FJ639685,Cambodia,2005,DENV-1,Old-Cambodia
FJ639708,Cambodia,2005,DENV-2,Old-Cambodia
FJ639709,Cambodia,2005,DENV-2,Old-Cambodia
FJ639710,Cambodia,2005,DENV-2,Old-Cambodia
FJ639711,Cambodia,2005,DENV-2,Old-Cambodia
GQ868623,Cambodia,2005,DENV-2,Old-Cambodia
GU131923,Cambodia,2005,DENV-1,Old-Cambodia
FJ639686,Cambodia,2006,DENV-1,Old-Cambodia
FJ639687,Cambodia,2006,DENV-1,Old-Cambodia
FJ744702,Cambodia,2006,DENV-1,Old-Cambodia
GQ868630,Cambodia,2006,DENV-1,Old-Cambodia
GQ868639,Cambodia,2006,DENV-1,Old-Cambodia
GU131887,Cambodia,2006,DENV-1,Old-Cambodia
GU131888,Cambodia,2006,DENV-1,Old-Cambodia
GU131889,Cambodia,2006,DENV-1,Old-Cambodia
GU131890,Cambodia,2006,DENV-1,Old-Cambodia
GU131891,Cambodia,2006,DENV-1,Old-Cambodia
GU131892,Cambodia,2006,DENV-1,Old-Cambodia
GU131925,Cambodia,2006,DENV-1,Old-Cambodia
GU131926,Cambodia,2006,DENV-1,Old-Cambodia
HM181936,Cambodia,2006,DENV-1,Old-Cambodia
HM181937,Cambodia,2006,DENV-1,Old-Cambodia
HM181938,Cambodia,2006,DENV-1,Old-Cambodia
HM181939,Cambodia,2006,DENV-1,Old-Cambodia
HM181940,Cambodia,2006,DENV-1,Old-Cambodia
HM181941,Cambodia,2006,DENV-1,Old-Cambodia
HM181942,Cambodia,2006,DENV-1,Old-Cambodia
HM631852,Cambodia,2006,DENV-1,Old-Cambodia
FJ639688,Cambodia,2007,DENV-1,Old-Cambodia
FJ639689,Cambodia,2007,DENV-1,Old-Cambodia
FJ639690,Cambodia,2007,DENV-1,Old-Cambodia
FJ639691,Cambodia,2007,DENV-1,Old-Cambodia
FJ639692,Cambodia,2007,DENV-1,Old-Cambodia
FJ639693,Cambodia,2007,DENV-1,Old-Cambodia
FJ639694,Cambodia,2007,DENV-1,Old-Cambodia
FJ639695,Cambodia,2007,DENV-1,Old-Cambodia
FJ639696,Cambodia,2007,DENV-1,Old-Cambodia
FJ639717,Cambodia,2007,DENV-2,Old-Cambodia
GQ868624,Cambodia,2007,DENV-2,Old-Cambodia
GU131893,Cambodia,2007,DENV-1,Old-Cambodia
GU131896,Cambodia,2007,DENV-2,Old-Cambodia
GU131897,Cambodia,2007,DENV-2,Old-Cambodia
GU131927,Cambodia,2007,DENV-2,Old-Cambodia
HM181943,Cambodia,2007,DENV-1,Old-Cambodia
HM181944,Cambodia,2007,DENV-1,Old-Cambodia
HM181945,Cambodia,2007,DENV-1,Old-Cambodia
HM181946,Cambodia,2007,DENV-1,Old-Cambodia
HM181947,Cambodia,2007,DENV-1,Old-Cambodia
HM181948,Cambodia,2007,DENV-1,Old-Cambodia
HM181949,Cambodia,2007,DENV-1,Old-Cambodia
HM181950,Cambodia,2007,DENV-1,Old-Cambodia
HM181951,Cambodia,2007,DENV-1,Old-Cambodia
HM181952,Cambodia,2007,DENV-1,Old-Cambodia
HM181953,Cambodia,2007,DENV-1,Old-Cambodia
HM181954,Cambodia,2007,DENV-1,Old-Cambodia
HM181955,Cambodia,2007,DENV-1,Old-Cambodia
HM181956,Cambodia,2007,DENV-1,Old-Cambodia
HM181957,Cambodia,2007,DENV-1,Old-Cambodia
HM181958,Cambodia,2007,DENV-1,Old-Cambodia
HM181959,Cambodia,2007,DENV-1,Old-Cambodia
HM488255,Cambodia,2007,DENV-1,Old-Cambodia
HM631853,Cambodia,2007,DENV-1,Old-Cambodia
HQ624983,Cambodia,2007,DENV-1,Old-Cambodia
HQ624984,Cambodia,2007,DENV-1,Old-Cambodia
JN368476,Cambodia,2007,DENV-2,Old-Cambodia
JQ287665,Cambodia,2007,DENV-1,Old-Cambodia
KF921932,Cambodia,2007,DENV-1,Old-Cambodia
KF921933,Cambodia,2007,DENV-1,Old-Cambodia
KF955444,Cambodia,2007,DENV-1,Old-Cambodia
FJ639718,Cambodia,2008,DENV-2,Old-Cambodia
GQ868625,Cambodia,2008,DENV-2,Old-Cambodia
GQ868631,Cambodia,2008,DENV-2,Old-Cambodia
GQ868632,Cambodia,2008,DENV-1,Old-Cambodia
GQ868633,Cambodia,2008,DENV-1,Old-Cambodia
GQ868635,Cambodia,2008,DENV-1,Old-Cambodia
GQ868636,Cambodia,2008,DENV-1,Old-Cambodia
GQ868638,Cambodia,2008,DENV-2,Old-Cambodia
GU131894,Cambodia,2008,DENV-1,Old-Cambodia
GU131898,Cambodia,2008,DENV-2,Old-Cambodia
GU131899,Cambodia,2008,DENV-2,Old-Cambodia
GU131900,Cambodia,2008,DENV-2,Old-Cambodia
GU131901,Cambodia,2008,DENV-2,Old-Cambodia
GU131902,Cambodia,2008,DENV-2,Old-Cambodia
GU131919,Cambodia,2008,DENV-1,Old-Cambodia
GU131920,Cambodia,2008,DENV-1,Old-Cambodia
GU131921,Cambodia,2008,DENV-1,Old-Cambodia
GU131922,Cambodia,2008,DENV-1,Old-Cambodia
GU131924,Cambodia,2008,DENV-2,Old-Cambodia
GU131928,Cambodia,2008,DENV-2,Old-Cambodia
GU131929,Cambodia,2008,DENV-2,Old-Cambodia
GU131930,Cambodia,2008,DENV-2,Old-Cambodia
GU131931,Cambodia,2008,DENV-2,Old-Cambodia
GU131932,Cambodia,2008,DENV-2,Old-Cambodia
JF730045,Cambodia,2008,DENV-2,Old-Cambodia
JF730046,Cambodia,2008,DENV-2,Old-Cambodia
JF730047,Cambodia,2008,DENV-2,Old-Cambodia
JF730048,Cambodia,2008,DENV-2,Old-Cambodia
JF937651,Cambodia,2008,DENV-1,Old-Cambodia
KF955401,Cambodia,2008,DENV-2,Old-Cambodia
KF955402,Cambodia,2008,DENV-2,Old-Cambodia
KU509260,Cambodia,2008,DENV-1,Old-Cambodia
GU131895,Cambodia,2009,DENV-1,Old-Cambodia
MW265669,Cambodia,2011,DENV-1,Old-Cambodia
MW265668,Cambodia,2011,DENV-1,Old-Cambodia
MW265670,Cambodia,2012,DENV-1,Old-Cambodia
MW265671,Cambodia,2012,DENV-1,Old-Cambodia
MW265672,Cambodia,2013,DENV-1,Old-Cambodia
MW265673,Cambodia,2014,DENV-1,Old-Cambodia
MW265674,Cambodia,2014,DENV-1,Old-Cambodia
MW265675,Cambodia,2014,DENV-1,Old-Cambodia
MW265676,Cambodia,2014,DENV-1,Old-Cambodia
MW265677,Cambodia,2015,DENV-1,Old-Cambodia
MW265678,Cambodia,2015,DENV-1,Old-Cambodia
MW265679,Cambodia,2015,DENV-1,Old-Cambodia
MW265667,Cambodia,2016,DENV-1,Old-Cambodia
MW265664,Cambodia,2016,DENV-1,Old-Cambodia
MW265665,Cambodia,2016,DENV-1,Old-Cambodia
MW265666,Cambodia,2016,DENV-1,Old-Cambodia
